Start Testing PE1.txt
['NKD', 'MRV', 'LCV'] avg time: 0.02489725351333618s
['NKT', 'NKD', 'MRV', 'LCV'] avg time: 0.026251578330993654s
['NKT', 'NKD', 'None', 'LCV'] avg time: 0.026330769062042236s
['NKD', 'NKT', 'None', 'LCV'] avg time: 0.02656710147857666s
['NKD', 'NKT', 'MRV', 'LCV'] avg time: 0.02660341262817383s
['NKD', 'None', 'LCV'] avg time: 0.02771146297454834s
['NKD', 'MRV', 'None'] avg time: 0.027826142311096192s
['NKD', 'None', 'None'] avg time: 0.027897167205810546s
['NKD', 'NKT', 'None', 'None'] avg time: 0.028600168228149415s
['NKD', 'NKT', 'MRV', 'None'] avg time: 0.02860211133956909s
['NKT', 'NKD', 'None', 'None'] avg time: 0.028612244129180908s
['NKT', 'NKD', 'MRV', 'None'] avg time: 0.028626012802124023s
['NKT', 'None', 'None'] avg time: 0.028718435764312746s
['NKT', 'None', 'LCV'] avg time: 0.029967737197875977s
['NKT', 'MRV', 'LCV'] avg time: 0.031223857402801515s
['NKD', 'DH', 'LCV'] avg time: 0.034191465377807616s
['NKD', 'NKT', 'DH', 'LCV'] avg time: 0.034271419048309326s
['NKT', 'MRV', 'None'] avg time: 0.034852230548858644s
['ForwardChecking', 'ArcConsistency', 'None', 'None'] avg time: 0.034984397888183597s
['ArcConsistency', 'ForwardChecking', 'MRV', 'LCV'] avg time: 0.03498860597610474s
['ArcConsistency', 'ForwardChecking', 'MRV', 'None'] avg time: 0.03506447076797485s
['NKT', 'NKD', 'DH', 'LCV'] avg time: 0.03513702154159546s
['ForwardChecking', 'ArcConsistency', 'None', 'LCV'] avg time: 0.03518586158752442s
['ForwardChecking', 'ArcConsistency', 'MRV', 'None'] avg time: 0.035364508628845215s
['ForwardChecking', 'ArcConsistency', 'MRV', 'LCV'] avg time: 0.03569689989089966s
['ArcConsistency', 'ForwardChecking', 'None', 'None'] avg time: 0.035867702960968015s
['ArcConsistency', 'ForwardChecking', 'None', 'LCV'] avg time: 0.03619526624679566s
['ArcConsistency', 'NKD', 'ForwardChecking', 'MRV', 'None'] avg time: 0.03660781383514404s
['NKD', 'ForwardChecking', 'ArcConsistency', 'None', 'None'] avg time: 0.03671438694000244s
['ArcConsistency', 'ForwardChecking', 'NKD', 'None', 'None'] avg time: 0.036952197551727295s
['ArcConsistency', 'ForwardChecking', 'NKD', 'MRV', 'None'] avg time: 0.03699603080749512s
['NKD', 'ArcConsistency', 'ForwardChecking', 'MRV', 'None'] avg time: 0.03712141513824463s
['NKD', 'ArcConsistency', 'ForwardChecking', 'None', 'LCV'] avg time: 0.03720687627792359s
['NKD', 'ArcConsistency', 'ForwardChecking', 'None', 'None'] avg time: 0.0372276782989502s
['ArcConsistency', 'NKD', 'ForwardChecking', 'MRV', 'LCV'] avg time: 0.037392282485961915s
['NKD', 'ArcConsistency', 'ForwardChecking', 'MRV', 'LCV'] avg time: 0.03759955167770386s
['ArcConsistency', 'ForwardChecking', 'NKD', 'None', 'LCV'] avg time: 0.037681758403778076s
['NKD', 'ForwardChecking', 'ArcConsistency', 'MRV', 'None'] avg time: 0.037740325927734374s
['ArcConsistency', 'ForwardChecking', 'NKT', 'None', 'None'] avg time: 0.03780187368392944s
['ArcConsistency', 'ForwardChecking', 'NKT', 'MRV', 'None'] avg time: 0.037806248664855956s
['NKD', 'ForwardChecking', 'ArcConsistency', 'None', 'LCV'] avg time: 0.037813782691955566s
['ForwardChecking', 'ArcConsistency', 'NKD', 'MRV', 'None'] avg time: 0.03783179521560669s
['ArcConsistency', 'ForwardChecking', 'NKT', 'MRV', 'LCV'] avg time: 0.0378530740737915s
['ArcConsistency', 'NKD', 'ForwardChecking', 'None', 'LCV'] avg time: 0.037873804569244385s
['NKT', 'ForwardChecking', 'ArcConsistency', 'MRV', 'LCV'] avg time: 0.03789893388748169s
['ForwardChecking', 'NKD', 'ArcConsistency', 'MRV', 'None'] avg time: 0.03790501356124878s
['ForwardChecking', 'NKD', 'ArcConsistency', 'MRV', 'LCV'] avg time: 0.03791099786758423s
['ArcConsistency', 'ForwardChecking', 'NKT', 'None', 'LCV'] avg time: 0.03791910409927368s
['ArcConsistency', 'ForwardChecking', 'NKD', 'MRV', 'LCV'] avg time: 0.03793647289276123s
['ForwardChecking', 'ArcConsistency', 'NKT', 'MRV', 'None'] avg time: 0.037952327728271486s
['NKT', 'ForwardChecking', 'ArcConsistency', 'MRV', 'None'] avg time: 0.03802868127822876s
['ForwardChecking', 'NKT', 'ArcConsistency', 'None', 'None'] avg time: 0.038042855262756345s
['NKT', 'ForwardChecking', 'ArcConsistency', 'None', 'LCV'] avg time: 0.038116073608398436s
['NKT', 'ArcConsistency', 'ForwardChecking', 'MRV', 'None'] avg time: 0.03823720216751099s
['ForwardChecking', 'ArcConsistency', 'NKD', 'None', 'None'] avg time: 0.03826507329940796s
['ForwardChecking', 'ArcConsistency', 'NKT', 'None', 'LCV'] avg time: 0.03828400373458862s
['ForwardChecking', 'ArcConsistency', 'NKD', 'MRV', 'LCV'] avg time: 0.03828551769256592s
['ForwardChecking', 'NKD', 'ArcConsistency', 'None', 'None'] avg time: 0.03828825950622559s
['ForwardChecking', 'ArcConsistency', 'NKD', 'None', 'LCV'] avg time: 0.03839700222015381s
['ArcConsistency', 'NKD', 'ForwardChecking', 'None', 'None'] avg time: 0.03847049474716187s
['ForwardChecking', 'ArcConsistency', 'NKT', 'MRV', 'LCV'] avg time: 0.03847370147705078s
['ArcConsistency', 'NKT', 'ForwardChecking', 'MRV', 'LCV'] avg time: 0.03859257698059082s
['ArcConsistency', 'NKT', 'ForwardChecking', 'None', 'None'] avg time: 0.03860538005828858s
['NKD', 'ForwardChecking', 'ArcConsistency', 'MRV', 'LCV'] avg time: 0.03861533403396607s
['ForwardChecking', 'NKT', 'ArcConsistency', 'None', 'LCV'] avg time: 0.03865470886230469s
['ForwardChecking', 'NKT', 'ArcConsistency', 'MRV', 'LCV'] avg time: 0.03874485492706299s
['ForwardChecking', 'ArcConsistency', 'NKT', 'None', 'None'] avg time: 0.03876515626907349s
['ForwardChecking', 'NKD', 'ArcConsistency', 'None', 'LCV'] avg time: 0.038811111450195314s
['NKT', 'ArcConsistency', 'ForwardChecking', 'None', 'None'] avg time: 0.038824605941772464s
['NKT', 'ArcConsistency', 'ForwardChecking', 'MRV', 'LCV'] avg time: 0.03888436555862427s
['ArcConsistency', 'NKT', 'ForwardChecking', 'MRV', 'None'] avg time: 0.038998734951019284s
['NKT', 'ForwardChecking', 'ArcConsistency', 'None', 'None'] avg time: 0.03903396129608154s
['NKT', 'ArcConsistency', 'ForwardChecking', 'None', 'LCV'] avg time: 0.03910773992538452s
['ForwardChecking', 'NKT', 'ArcConsistency', 'MRV', 'None'] avg time: 0.039114415645599365s
['ArcConsistency', 'ForwardChecking', 'NKT', 'NKD', 'None', 'None'] avg time: 0.03955212831497192s
['ArcConsistency', 'NKT', 'ForwardChecking', 'None', 'LCV'] avg time: 0.03955539464950562s
['ForwardChecking', 'NKT', 'ArcConsistency', 'NKD', 'None', 'None'] avg time: 0.0395796537399292s
['ForwardChecking', 'NKT', 'ArcConsistency', 'NKD', 'MRV', 'None'] avg time: 0.03962284326553345s
['ArcConsistency', 'ForwardChecking', 'NKT', 'NKD', 'None', 'LCV'] avg time: 0.03963117599487305s
['ForwardChecking', 'NKT', 'ArcConsistency', 'NKD', 'MRV', 'LCV'] avg time: 0.039727783203125s
['ArcConsistency', 'ForwardChecking', 'NKT', 'NKD', 'MRV', 'None'] avg time: 0.039729726314544675s
['ForwardChecking', 'NKT', 'ArcConsistency', 'NKD', 'None', 'LCV'] avg time: 0.03975542783737183s
['ArcConsistency', 'ForwardChecking', 'NKD', 'NKT', 'MRV', 'None'] avg time: 0.03981286287307739s
['NKT', 'ForwardChecking', 'ArcConsistency', 'NKD', 'MRV', 'None'] avg time: 0.03982435464859009s
['NKT', 'ForwardChecking', 'ArcConsistency', 'NKD', 'None', 'LCV'] avg time: 0.03986947536468506s
['ArcConsistency', 'NKT', 'NKD', 'ForwardChecking', 'None', 'LCV'] avg time: 0.03989535570144653s
['NKD', 'ForwardChecking', 'ArcConsistency', 'NKT', 'None', 'None'] avg time: 0.03992072343826294s
['ArcConsistency', 'NKT', 'NKD', 'ForwardChecking', 'MRV', 'None'] avg time: 0.03994797468185425s
['ForwardChecking', 'NKD', 'NKT', 'ArcConsistency', 'MRV', 'LCV'] avg time: 0.039951515197753903s
['ArcConsistency', 'ForwardChecking', 'NKD', 'NKT', 'MRV', 'LCV'] avg time: 0.039952993392944336s
['ForwardChecking', 'ArcConsistency', 'NKT', 'NKD', 'MRV', 'LCV'] avg time: 0.039955174922943114s
['NKT', 'NKD', 'ArcConsistency', 'ForwardChecking', 'None', 'LCV'] avg time: 0.03998667001724243s
['ForwardChecking', 'ArcConsistency', 'NKD', 'NKT', 'None', 'None'] avg time: 0.0399996280670166s
['ForwardChecking', 'ArcConsistency', 'NKD', 'NKT', 'MRV', 'None'] avg time: 0.04000016450881958s
['NKD', 'ArcConsistency', 'NKT', 'ForwardChecking', 'MRV', 'LCV'] avg time: 0.040000641345977785s
['NKD', 'ArcConsistency', 'NKT', 'ForwardChecking', 'MRV', 'None'] avg time: 0.040006160736083984s
['ArcConsistency', 'NKD', 'ForwardChecking', 'NKT', 'None', 'None'] avg time: 0.04006025791168213s
['ArcConsistency', 'NKT', 'NKD', 'ForwardChecking', 'None', 'None'] avg time: 0.04010132551193237s
['NKD', 'ArcConsistency', 'ForwardChecking', 'NKT', 'MRV', 'None'] avg time: 0.04017401933670044s
['ArcConsistency', 'NKT', 'ForwardChecking', 'NKD', 'MRV', 'None'] avg time: 0.04018579721450806s
['ArcConsistency', 'ForwardChecking', 'NKT', 'NKD', 'MRV', 'LCV'] avg time: 0.04018714427947998s
['ForwardChecking', 'ArcConsistency', 'NKD', 'NKT', 'None', 'LCV'] avg time: 0.040200221538543704s
['ForwardChecking', 'NKT', 'NKD', 'ArcConsistency', 'None', 'None'] avg time: 0.04020888805389404s
['ArcConsistency', 'NKD', 'NKT', 'ForwardChecking', 'None', 'LCV'] avg time: 0.040212607383728026s
['NKT', 'ForwardChecking', 'ArcConsistency', 'NKD', 'None', 'None'] avg time: 0.04021297693252564s
['ForwardChecking', 'NKD', 'ArcConsistency', 'NKT', 'None', 'LCV'] avg time: 0.04022074937820434s
['NKT', 'ArcConsistency', 'NKD', 'ForwardChecking', 'MRV', 'None'] avg time: 0.04026440382003784s
['ForwardChecking', 'NKD', 'NKT', 'ArcConsistency', 'MRV', 'None'] avg time: 0.04026451110839844s
['NKT', 'NKD', 'ArcConsistency', 'ForwardChecking', 'MRV', 'None'] avg time: 0.04028055667877197s
['ForwardChecking', 'NKT', 'NKD', 'ArcConsistency', 'None', 'LCV'] avg time: 0.0403092622756958s
['ForwardChecking', 'NKD', 'ArcConsistency', 'NKT', 'MRV', 'None'] avg time: 0.040313351154327395s
['NKT', 'ForwardChecking', 'NKD', 'ArcConsistency', 'None', 'LCV'] avg time: 0.040313875675201415s
['NKT', 'NKD', 'ForwardChecking', 'ArcConsistency', 'None', 'None'] avg time: 0.04033463001251221s
['ArcConsistency', 'NKD', 'ForwardChecking', 'NKT', 'MRV', 'None'] avg time: 0.040388965606689455s
['NKT', 'NKD', 'ForwardChecking', 'ArcConsistency', 'MRV', 'None'] avg time: 0.04040360450744629s
['NKD', 'NKT', 'ArcConsistency', 'ForwardChecking', 'None', 'None'] avg time: 0.04040838479995727s
['ArcConsistency', 'NKT', 'NKD', 'ForwardChecking', 'MRV', 'LCV'] avg time: 0.04043159484863281s
['NKT', 'ArcConsistency', 'NKD', 'ForwardChecking', 'MRV', 'LCV'] avg time: 0.040440261363983154s
['ForwardChecking', 'ArcConsistency', 'NKD', 'NKT', 'MRV', 'LCV'] avg time: 0.04044487476348877s
['NKD', 'ArcConsistency', 'ForwardChecking', 'NKT', 'None', 'None'] avg time: 0.0404515266418457s
['NKD', 'ForwardChecking', 'NKT', 'ArcConsistency', 'None', 'None'] avg time: 0.040457737445831296s
['NKD', 'ForwardChecking', 'ArcConsistency', 'NKT', 'MRV', 'LCV'] avg time: 0.04050570726394653s
['NKD', 'NKT', 'ArcConsistency', 'ForwardChecking', 'MRV', 'None'] avg time: 0.04051162004470825s
['ArcConsistency', 'NKD', 'NKT', 'ForwardChecking', 'MRV', 'None'] avg time: 0.04056258201599121s
['ForwardChecking', 'NKT', 'NKD', 'ArcConsistency', 'MRV', 'None'] avg time: 0.040570199489593506s
['NKT', 'ForwardChecking', 'ArcConsistency', 'NKD', 'MRV', 'LCV'] avg time: 0.04057458639144897s
['NKT', 'NKD', 'ArcConsistency', 'ForwardChecking', 'None', 'None'] avg time: 0.040600717067718506s
['NKT', 'ForwardChecking', 'NKD', 'ArcConsistency', 'MRV', 'None'] avg time: 0.040626037120819095s
['NKT', 'ArcConsistency', 'NKD', 'ForwardChecking', 'None', 'None'] avg time: 0.04064302444458008s
['NKT', 'NKD', 'ArcConsistency', 'ForwardChecking', 'MRV', 'LCV'] avg time: 0.04064664840698242s
['NKT', 'NKD', 'ForwardChecking', 'ArcConsistency', 'MRV', 'LCV'] avg time: 0.040646815299987794s
['NKD', 'ArcConsistency', 'NKT', 'ForwardChecking', 'None', 'LCV'] avg time: 0.04065955877304077s
['NKD', 'NKT', 'ForwardChecking', 'ArcConsistency', 'MRV', 'LCV'] avg time: 0.0406794548034668s
['ArcConsistency', 'NKD', 'ForwardChecking', 'NKT', 'MRV', 'LCV'] avg time: 0.040694594383239746s
