id numBacktracks numAssignments avgtime
PH5.txt
21 5387 5406 215.0255572795868
27 5200 5218 234.03949451446533
22 5964 5983 237.26999354362488
93 3663 3678 321.7223014831543
81 3524 3538 331.62927746772766
75 4288 4305 386.7686574459076
87 4241 4256 396.8329577445984
147 4519 4534 456.84487295150757
159 4400 4417 467.6484622955322
69 4651 4666 481.1846544742584
63 4742 4759 483.44859290122986
153 4535 4551 547.8306379318237
141 4635 4654 575.49986743927
129 4429 4444 inf
15 33411 33432 inf
279 3168 3186 inf
321 3581 3597 inf
327 3164 3179 inf
333 3640 3653 inf
339 3671 3687 inf
345 3210 3225 inf
351 3351 3362 inf
363 2884 2893 inf
369 3135 3153 inf
375 3036 3042 inf
381 2943 2955 inf
387 3023 3042 inf
